time(s),x,y,z,vx,vy,vz,fuel_mass
0,6671.000000,0.000000,0.000000,0.000000,7.730000,0.000000,500.00
1,6671.001043,7.730000,0.000000,0.001043,7.730000,0.000000,496.67
2,6671.003130,15.459990,0.000000,0.002087,7.729990,0.000000,493.33
3,6671.006260,23.189958,0.000000,0.003130,7.729969,0.000000,490.00
4,6671.010434,30.919896,0.000000,0.004174,7.729938,0.000000,486.67
5,6671.015652,38.649792,0.000000,0.005218,7.729896,0.000000,483.33
6,6671.021913,46.379637,0.000000,0.006261,7.729844,0.000000,480.00
7,6671.029219,54.109419,0.000000,0.007306,7.729782,0.000000,476.67
8,6671.037569,61.839128,0.000000,0.008350,7.729709,0.000000,473.33
9,6671.046963,69.568755,0.000000,0.009395,7.729626,0.000000,470.00
10,6671.057403,77.298288,0.000000,0.010440,7.729533,0.000000,466.67
11,6671.068888,85.027717,0.000000,0.011485,7.729429,0.000000,463.33
12,6671.081418,92.757032,0.000000,0.012531,7.729315,0.000000,460.00
13,6671.094995,100.486223,0.000000,0.013577,7.729191,0.000000,456.67
14,6671.109619,108.215278,0.000000,0.014624,7.729056,0.000000,453.33
15,6671.125289,115.944189,0.000000,0.015671,7.728911,0.000000,450.00
16,6671.142008,123.672944,0.000000,0.016719,7.728755,0.000000,446.67
17,6671.159775,131.401533,0.000000,0.017767,7.728589,0.000000,443.33
18,6671.178591,139.129946,0.000000,0.018816,7.728413,0.000000,440.00
19,6671.198456,146.858172,0.000000,0.019866,7.728226,0.000000,436.67
20,6671.219372,154.586201,0.000000,0.020916,7.728029,0.000000,433.33
21,6671.241340,162.314022,0.000000,0.021967,7.727822,0.000000,430.00
22,6671.264359,170.041626,0.000000,0.023019,7.727604,0.000000,426.67
23,6671.288431,177.769002,0.000000,0.024072,7.727376,0.000000,423.33
24,6671.313557,185.496140,0.000000,0.025126,7.727138,0.000000,420.00
25,6671.339737,193.223029,0.000000,0.026180,7.726889,0.000000,416.67
26,6671.366973,200.949658,0.000000,0.027236,7.726630,0.000000,413.33
27,6671.395265,208.676019,0.000000,0.028292,7.726360,0.000000,410.00
28,6671.424615,216.402099,0.000000,0.029350,7.726081,0.000000,406.67
29,6671.455024,224.127890,0.000000,0.030409,7.725791,0.000000,403.33
30,6671.486493,231.853380,0.000000,0.031468,7.725490,0.000000,400.00
31,6671.519022,239.578560,0.000000,0.032529,7.725180,0.000000,396.67
32,6671.552613,247.303418,0.000000,0.033591,7.724859,0.000000,393.33
33,6671.587268,255.027946,0.000000,0.034655,7.724527,0.000000,390.00
34,6671.622987,262.752131,0.000000,0.035719,7.724186,0.000000,386.67
35,6671.659773,270.475965,0.000000,0.036785,7.723834,0.000000,383.33
36,6671.697625,278.199437,0.000000,0.037852,7.723472,0.000000,380.00
37,6671.736546,285.922537,0.000000,0.038921,7.723099,0.000000,376.67
38,6671.776537,293.645253,0.000000,0.039991,7.722717,0.000000,373.33
39,6671.817599,301.367577,0.000000,0.041062,7.722324,0.000000,370.00
40,6671.859734,309.089497,0.000000,0.042135,7.721920,0.000000,366.67
41,6671.902944,316.811004,0.000000,0.043210,7.721507,0.000000,363.33
42,6671.947230,324.532087,0.000000,0.044286,7.721083,0.000000,360.00
43,6671.992593,332.252737,0.000000,0.045363,7.720649,0.000000,356.67
44,6672.039036,339.972942,0.000000,0.046443,7.720205,0.000000,353.33
45,6672.086559,347.692692,0.000000,0.047524,7.719750,0.000000,350.00
46,6672.135165,355.411978,0.000000,0.048606,7.719286,0.000000,346.67
47,6672.184856,363.130789,0.000000,0.049691,7.718811,0.000000,343.33
48,6672.235633,370.849115,0.000000,0.050777,7.718326,0.000000,340.00
49,6672.287497,378.566945,0.000000,0.051865,7.717830,0.000000,336.67
50,6672.340452,386.284270,0.000000,0.052955,7.717325,0.000000,333.33
51,6672.394499,394.001079,0.000000,0.054047,7.716809,0.000000,330.00
52,6672.449639,401.717362,0.000000,0.055140,7.716283,0.000000,326.67
53,6672.505875,409.433109,0.000000,0.056236,7.715747,0.000000,323.33
54,6672.563209,417.148310,0.000000,0.057334,7.715201,0.000000,320.00
55,6672.621642,424.862955,0.000000,0.058434,7.714644,0.000000,316.67
56,6672.681178,432.577033,0.000000,0.059536,7.714078,0.000000,313.33
57,6672.741818,440.290534,0.000000,0.060640,7.713501,0.000000,310.00
58,6672.803563,448.003448,0.000000,0.061746,7.712914,0.000000,306.67
59,6672.866417,455.715766,0.000000,0.062854,7.712317,0.000000,303.33
60,6672.930382,463.427476,0.000000,0.063965,7.711710,0.000000,300.00
61,6672.995460,471.138569,0.000000,0.065078,7.711093,0.000000,296.67
62,6673.061653,478.849035,0.000000,0.066193,7.710466,0.000000,293.33
63,6673.128964,486.558864,0.000000,0.067311,7.709828,0.000000,290.00
64,6673.197395,494.268044,0.000000,0.068431,7.709181,0.000000,286.67
65,6673.266948,501.976568,0.000000,0.069553,7.708523,0.000000,283.33
66,6673.337626,509.684424,0.000000,0.070678,7.707856,0.000000,280.00
67,6673.409431,517.391602,0.000000,0.071805,7.707178,0.000000,276.67
68,6673.482367,525.098092,0.000000,0.072935,7.706490,0.000000,273.33
69,6673.556435,532.803885,0.000000,0.074068,7.705793,0.000000,270.00
70,6673.631638,540.508970,0.000000,0.075203,7.705085,0.000000,266.67
71,6673.707979,548.213337,0.000000,0.076341,7.704367,0.000000,263.33
72,6673.785460,555.916977,0.000000,0.077481,7.703639,0.000000,260.00
73,6673.864084,563.619879,0.000000,0.078625,7.702902,0.000000,256.67
74,6673.943855,571.322033,0.000000,0.079771,7.702154,0.000000,253.33
75,6674.024774,579.023429,0.000000,0.080919,7.701396,0.000000,250.00
76,6674.106845,586.724057,0.000000,0.082071,7.700629,0.000000,246.67
77,6674.190071,594.423908,0.000000,0.083225,7.699851,0.000000,243.33
78,6674.274453,602.122972,0.000000,0.084383,7.699063,0.000000,240.00
79,6674.359996,609.821238,0.000000,0.085543,7.698266,0.000000,236.67
80,6674.446703,617.518696,0.000000,0.086706,7.697459,0.000000,233.33
81,6674.534575,625.215338,0.000000,0.087873,7.696641,0.000000,230.00
82,6674.623617,632.911152,0.000000,0.089042,7.695814,0.000000,226.67
83,6674.713832,640.606129,0.000000,0.090214,7.694977,0.000000,223.33
84,6674.805222,648.300259,0.000000,0.091390,7.694130,0.000000,220.00
85,6674.897791,655.993532,0.000000,0.092569,7.693273,0.000000,216.67
86,6674.991541,663.685939,0.000000,0.093751,7.692407,0.000000,213.33
87,6675.086477,671.377469,0.000000,0.094936,7.691530,0.000000,210.00
88,6675.182601,679.068113,0.000000,0.096124,7.690644,0.000000,206.67
89,6675.279917,686.757861,0.000000,0.097316,7.689748,0.000000,203.33
90,6675.378428,694.446703,0.000000,0.098511,7.688842,0.000000,200.00
91,6675.478137,702.134629,0.000000,0.099709,7.687926,0.000000,196.67
92,6675.579048,709.821630,0.000000,0.100911,7.687001,0.000000,193.33
93,6675.681165,717.507696,0.000000,0.102116,7.686066,0.000000,190.00
94,6675.784490,725.192817,0.000000,0.103325,7.685121,0.000000,186.67
95,6675.889027,732.876984,0.000000,0.104537,7.684166,0.000000,183.33
96,6675.994780,740.560186,0.000000,0.105753,7.683202,0.000000,180.00
97,6676.101753,748.242414,0.000000,0.106972,7.682228,0.000000,176.67
98,6676.209948,755.923658,0.000000,0.108195,7.681244,0.000000,173.33
99,6676.319370,763.603909,0.000000,0.109422,7.680251,0.000000,170.00
100,6676.430022,771.283157,0.000000,0.110652,7.679248,0.000000,166.67
101,6676.541909,778.961392,0.000000,0.111886,7.678235,0.000000,163.33
102,6676.655033,786.638605,0.000000,0.113124,7.677213,0.000000,160.00
103,6676.769399,794.314786,0.000000,0.114366,7.676181,0.000000,156.67
104,6676.885010,801.989925,0.000000,0.115611,7.675139,0.000000,153.33
105,6677.001870,809.664014,0.000000,0.116860,7.674088,0.000000,150.00
106,6677.119983,817.337041,0.000000,0.118113,7.673028,0.000000,146.67
107,6677.239354,825.008999,0.000000,0.119370,7.671957,0.000000,143.33
108,6677.359985,832.679876,0.000000,0.120631,7.670878,0.000000,140.00
109,6677.481882,840.349665,0.000000,0.121896,7.669788,0.000000,136.67
110,6677.605047,848.018355,0.000000,0.123165,7.668690,0.000000,133.33
111,6677.729486,855.685936,0.000000,0.124439,7.667581,0.000000,130.00
112,6677.855201,863.352400,0.000000,0.125716,7.666464,0.000000,126.67
113,6677.982198,871.017736,0.000000,0.126997,7.665336,0.000000,123.33
114,6678.110481,878.681936,0.000000,0.128282,7.664200,0.000000,120.00
115,6678.240053,886.344990,0.000000,0.129572,7.663054,0.000000,116.67
116,6678.370919,894.006888,0.000000,0.130866,7.661898,0.000000,113.33
117,6678.503083,901.667621,0.000000,0.132164,7.660733,0.000000,110.00
118,6678.636549,909.327180,0.000000,0.133466,7.659559,0.000000,106.67
119,6678.771322,916.985556,0.000000,0.134773,7.658375,0.000000,103.33
120,6678.907406,924.642738,0.000000,0.136084,7.657182,0.000000,100.00
121,6679.044806,932.298718,0.000000,0.137400,7.655980,0.000000,96.67
122,6679.183525,939.953487,0.000000,0.138719,7.654769,0.000000,93.33
123,6679.323569,947.607035,0.000000,0.140044,7.653548,0.000000,90.00
124,6679.464941,955.259352,0.000000,0.141373,7.652317,0.000000,86.67
125,6679.607647,962.910430,0.000000,0.142706,7.651078,0.000000,83.33
126,6679.751691,970.560259,0.000000,0.144044,7.649829,0.000000,80.00
127,6679.897077,978.208831,0.000000,0.145386,7.648571,0.000000,76.67
128,6680.043811,985.856135,0.000000,0.146733,7.647304,0.000000,73.33
129,6680.191896,993.502163,0.000000,0.148085,7.646028,0.000000,70.00
130,6680.341337,1001.146905,0.000000,0.149441,7.644742,0.000000,66.67
131,6680.492140,1008.790353,0.000000,0.150802,7.643448,0.000000,63.33
132,6680.644308,1016.432497,0.000000,0.152168,7.642144,0.000000,60.00
133,6680.797847,1024.073328,0.000000,0.153539,7.640831,0.000000,56.67
134,6680.952761,1031.712836,0.000000,0.154914,7.639509,0.000000,53.33
135,6681.109056,1039.351014,0.000000,0.156295,7.638178,0.000000,50.00
136,6681.266735,1046.987852,0.000000,0.157680,7.636838,0.000000,46.67
137,6681.425805,1054.623340,0.000000,0.159070,7.635488,0.000000,43.33
138,6681.586269,1062.257470,0.000000,0.160464,7.634130,0.000000,40.00
139,6681.748134,1069.890233,0.000000,0.161864,7.632763,0.000000,36.67
140,6681.911403,1077.521620,0.000000,0.163269,7.631387,0.000000,33.33
141,6682.076082,1085.151621,0.000000,0.164679,7.630001,0.000000,30.00
142,6682.242176,1092.780228,0.000000,0.166094,7.628607,0.000000,26.67
143,6682.409690,1100.407432,0.000000,0.167514,7.627204,0.000000,23.33
144,6682.578629,1108.033224,0.000000,0.168939,7.625792,0.000000,20.00
145,6682.748998,1115.657595,0.000000,0.170369,7.624371,0.000000,16.67
146,6682.920803,1123.280536,0.000000,0.171805,7.622941,0.000000,13.33
147,6683.094048,1130.902039,0.000000,0.173245,7.621502,0.000000,10.00
148,6683.268739,1138.522094,0.000000,0.174691,7.620055,0.000000,6.67
149,6683.444881,1146.140692,0.000000,0.176142,7.618599,0.000000,3.33
150,6683.622480,1153.757826,0.000000,0.177599,7.617133,0.000000,0.00
151,6683.801540,1161.373485,0.000000,0.179060,7.615660,0.000000,0.00
152,6683.972067,1168.987662,0.000000,0.170527,7.614177,0.000000,0.00
153,6684.134067,1176.600348,0.000000,0.162000,7.612685,0.000000,0.00
154,6684.287544,1184.211533,0.000000,0.153477,7.611185,0.000000,0.00
155,6684.432504,1191.821209,0.000000,0.144960,7.609676,0.000000,0.00
156,6684.568953,1199.429368,0.000000,0.136449,7.608159,0.000000,0.00
157,6684.696896,1207.036001,0.000000,0.127943,7.606632,0.000000,0.00
158,6684.816337,1214.641098,0.000000,0.119442,7.605098,0.000000,0.00
159,6684.927284,1222.244652,0.000000,0.110946,7.603554,0.000000,0.00
160,6685.029740,1229.846654,0.000000,0.102456,7.602002,0.000000,0.00
161,6685.123712,1237.447094,0.000000,0.093972,7.600441,0.000000,0.00
162,6685.209204,1245.045966,0.000000,0.085492,7.598871,0.000000,0.00
163,6685.286222,1252.643258,0.000000,0.077018,7.597293,0.000000,0.00
164,6685.354772,1260.238965,0.000000,0.068550,7.595706,0.000000,0.00
165,6685.414859,1267.833075,0.000000,0.060087,7.594111,0.000000,0.00
166,6685.466488,1275.425582,0.000000,0.051629,7.592507,0.000000,0.00
167,6685.509665,1283.016477,0.000000,0.043177,7.590894,0.000000,0.00
168,6685.544395,1290.605750,0.000000,0.034730,7.589273,0.000000,0.00
169,6685.570683,1298.193394,0.000000,0.026288,7.587644,0.000000,0.00
170,6685.588536,1305.779400,0.000000,0.017852,7.586006,0.000000,0.00
171,6685.597957,1313.363759,0.000000,0.009422,7.584359,0.000000,0.00
172,6685.598954,1320.946463,0.000000,0.000997,7.582704,0.000000,0.00
173,6685.591531,1328.527503,0.000000,-0.007423,7.581040,0.000000,0.00
174,6685.575694,1336.106872,0.000000,-0.015837,7.579368,0.000000,0.00
175,6685.551448,1343.684559,0.000000,-0.024246,7.577688,0.000000,0.00
176,6685.518798,1351.260558,0.000000,-0.032649,7.575999,0.000000,0.00
177,6685.477751,1358.834860,0.000000,-0.041047,7.574302,0.000000,0.00
178,6685.428311,1366.407456,0.000000,-0.049440,7.572596,0.000000,0.00
179,6685.370484,1373.978337,0.000000,-0.057827,7.570882,0.000000,0.00
180,6685.304276,1381.547496,0.000000,-0.066208,7.569159,0.000000,0.00
181,6685.229691,1389.114924,0.000000,-0.074585,7.567428,0.000000,0.00
182,6685.146736,1396.680613,0.000000,-0.082955,7.565689,0.000000,0.00
183,6685.055416,1404.244554,0.000000,-0.091320,7.563941,0.000000,0.00
184,6684.955736,1411.806739,0.000000,-0.099680,7.562185,0.000000,0.00
185,6684.847702,1419.367160,0.000000,-0.108034,7.560421,0.000000,0.00
186,6684.731319,1426.925808,0.000000,-0.116383,7.558648,0.000000,0.00
