time(s),x,y,z,vx,vy,vz,fuel_mass
0,6671.000000,0.000000,0.000000,0.000000,7.730000,0.000000,500.00
1,6670.991043,7.740000,0.000000,-0.008957,7.740000,0.000000,496.67
2,6670.973119,15.489990,0.000000,-0.017925,7.749990,0.000000,493.33
3,6670.946214,23.249958,0.000000,-0.026905,7.759969,0.000000,490.00
4,6670.910318,31.019896,0.000000,-0.035896,7.769938,0.000000,486.67
5,6670.865420,38.799792,0.000000,-0.044899,7.779896,0.000000,483.33
6,6670.811507,46.589635,0.000000,-0.053913,7.789843,0.000000,480.00
7,6670.748568,54.389416,0.000000,-0.062938,7.799781,0.000000,476.67
8,6670.676593,62.199123,0.000000,-0.071976,7.809707,0.000000,473.33
9,6670.595569,70.018747,0.000000,-0.081024,7.819623,0.000000,470.00
10,6670.505485,77.848275,0.000000,-0.090084,7.829529,0.000000,466.67
11,6670.406330,85.687699,0.000000,-0.099155,7.839424,0.000000,463.33
12,6670.298093,93.537007,0.000000,-0.108237,7.849308,0.000000,460.00
13,6670.180762,101.396188,0.000000,-0.117331,7.859181,0.000000,456.67
14,6670.054325,109.265232,0.000000,-0.126436,7.869044,0.000000,453.33
15,6669.918773,117.144128,0.000000,-0.135552,7.878896,0.000000,450.00
16,6669.774093,125.032866,0.000000,-0.144680,7.888737,0.000000,446.67
17,6669.620275,132.931433,0.000000,-0.153818,7.898568,0.000000,443.33
18,6669.457307,140.839821,0.000000,-0.162968,7.908387,0.000000,440.00
19,6669.285178,148.758017,0.000000,-0.172129,7.918196,0.000000,436.67
20,6669.103878,156.686011,0.000000,-0.181301,7.927994,0.000000,433.33
21,6668.913394,164.623792,0.000000,-0.190484,7.937781,0.000000,430.00
22,6668.713717,172.571349,0.000000,-0.199677,7.947557,0.000000,426.67
23,6668.504834,180.528671,0.000000,-0.208882,7.957322,0.000000,423.33
24,6668.286736,188.495748,0.000000,-0.218098,7.967076,0.000000,420.00
25,6668.059411,196.472567,0.000000,-0.227325,7.976820,0.000000,416.67
26,6667.822848,204.459119,0.000000,-0.236563,7.986552,0.000000,413.33
27,6667.577037,212.455392,0.000000,-0.245811,7.996273,0.000000,410.00
28,6667.321966,220.461375,0.000000,-0.255071,8.005983,0.000000,406.67
29,6667.057625,228.477057,0.000000,-0.264341,8.015682,0.000000,403.33
30,6666.784003,236.502426,0.000000,-0.273622,8.025370,0.000000,400.00
31,6666.501089,244.537473,0.000000,-0.282914,8.035046,0.000000,396.67
32,6666.208872,252.582184,0.000000,-0.292216,8.044712,0.000000,393.33
33,6665.907343,260.636550,0.000000,-0.301530,8.054366,0.000000,390.00
34,6665.596489,268.700559,0.000000,-0.310853,8.064009,0.000000,386.67
35,6665.276301,276.774200,0.000000,-0.320188,8.073641,0.000000,383.33
36,6664.946768,284.857462,0.000000,-0.329533,8.083261,0.000000,380.00
37,6664.607879,292.950333,0.000000,-0.338889,8.092871,0.000000,376.67
38,6664.259624,301.052801,0.000000,-0.348255,8.102469,0.000000,373.33
39,6663.901992,309.164857,0.000000,-0.357632,8.112055,0.000000,370.00
40,6663.534973,317.286487,0.000000,-0.367019,8.121630,0.000000,366.67
41,6663.158557,325.417681,0.000000,-0.376417,8.131194,0.000000,363.33
42,6662.772732,333.558428,0.000000,-0.385825,8.140747,0.000000,360.00
43,6662.377488,341.708716,0.000000,-0.395243,8.150288,0.000000,356.67
44,6661.972816,349.868533,0.000000,-0.404672,8.159817,0.000000,353.33
45,6661.558705,358.037868,0.000000,-0.414111,8.169335,0.000000,350.00
46,6661.135144,366.216710,0.000000,-0.423561,8.178842,0.000000,346.67
47,6660.702123,374.405046,0.000000,-0.433021,8.188337,0.000000,343.33
48,6660.259633,382.602867,0.000000,-0.442491,8.197820,0.000000,340.00
49,6659.807662,390.810158,0.000000,-0.451971,8.207292,0.000000,336.67
50,6659.346201,399.026911,0.000000,-0.461461,8.216752,0.000000,333.33
51,6658.875239,407.253111,0.000000,-0.470962,8.226201,0.000000,330.00
52,6658.394766,415.488749,0.000000,-0.480472,8.235638,0.000000,326.67
53,6657.904773,423.733812,0.000000,-0.489993,8.245063,0.000000,323.33
54,6657.405249,431.988288,0.000000,-0.499524,8.254477,0.000000,320.00
55,6656.896185,440.252167,0.000000,-0.509065,8.263878,0.000000,316.67
56,6656.377569,448.525435,0.000000,-0.518615,8.273268,0.000000,313.33
57,6655.849393,456.808082,0.000000,-0.528176,8.282647,0.000000,310.00
58,6655.311646,465.100095,0.000000,-0.537747,8.292013,0.000000,306.67
59,6654.764319,473.401464,0.000000,-0.547327,8.301368,0.000000,303.33
60,6654.207402,481.712175,0.000000,-0.556918,8.310711,0.000000,300.00
61,6653.640884,490.032217,0.000000,-0.566518,8.320042,0.000000,296.67
62,6653.064756,498.361578,0.000000,-0.576128,8.329361,0.000000,293.33
63,6652.479008,506.700246,0.000000,-0.585748,8.338668,0.000000,290.00
64,6651.883631,515.048210,0.000000,-0.595377,8.347964,0.000000,286.67
65,6651.278615,523.405457,0.000000,-0.605016,8.357247,0.000000,283.33
66,6650.663950,531.771976,0.000000,-0.614665,8.366519,0.000000,280.00
67,6650.039627,540.147754,0.000000,-0.624323,8.375778,0.000000,276.67
68,6649.405636,548.532780,0.000000,-0.633991,8.385026,0.000000,273.33
69,6648.761967,556.927041,0.000000,-0.643669,8.394261,0.000000,270.00
70,6648.108610,565.330525,0.000000,-0.653356,8.403484,0.000000,266.67
71,6647.445558,573.743220,0.000000,-0.663053,8.412696,0.000000,263.33
72,6646.772799,582.165115,0.000000,-0.672759,8.421895,0.000000,260.00
73,6646.090325,590.596197,0.000000,-0.682474,8.431082,0.000000,256.67
74,6645.398126,599.036454,0.000000,-0.692199,8.440257,0.000000,253.33
75,6644.696192,607.485873,0.000000,-0.701933,8.449419,0.000000,250.00
76,6643.984516,615.944443,0.000000,-0.711677,8.458570,0.000000,246.67
77,6643.263086,624.412151,0.000000,-0.721430,8.467708,0.000000,243.33
78,6642.531894,632.888986,0.000000,-0.731192,8.476834,0.000000,240.00
79,6641.790931,641.374934,0.000000,-0.740963,8.485948,0.000000,236.67
80,6641.040187,649.869984,0.000000,-0.750744,8.495050,0.000000,233.33
81,6640.279654,658.374123,0.000000,-0.760533,8.504139,0.000000,230.00
82,6639.509322,666.887340,0.000000,-0.770332,8.513216,0.000000,226.67
83,6638.729183,675.409621,0.000000,-0.780140,8.522281,0.000000,223.33
84,6637.939226,683.940954,0.000000,-0.789957,8.531333,0.000000,220.00
85,6637.139443,692.481328,0.000000,-0.799783,8.540373,0.000000,216.67
86,6636.329826,701.030729,0.000000,-0.809617,8.549401,0.000000,213.33
87,6635.510365,709.589145,0.000000,-0.819461,8.558416,0.000000,210.00
88,6634.681051,718.156564,0.000000,-0.829314,8.567419,0.000000,206.67
